index,label,expression,Positive_index,context,AnchorContext,NegativeSentence,NegativeExpression,Negative_index
354,0,flown,5,The body of al-Wazir was flown to Damascus for burial today .,The body of al-Wazir was [Mask] to Damascus for burial today .,This was one of the lesser-known reasons why President Zia abruptly dismissed the whole cabinet and dissolved the national assembly on May 29 .,dissolved,16
355,1,melted,4,But the Supreme Court melted down my statue when it decided Hazelwood . ''/'',But the Supreme Court [Mask] down my statue when it decided Hazelwood . ''/'',It 's raining . ''/'',raining,2
356,1,pouring,2,"Spain is pouring 15 billion pesetas -LRB- $ 122.2 million -RRB- into major new equipment by Ceselsa , a Spanish maker .","Spain is [Mask] 15 billion pesetas -LRB- $ 122.2 million -RRB- into major new equipment by Ceselsa , a Spanish maker .","The provincial governments of Alberta and Saskatchewan have offered a total of 28.5 million Canadian dollars -LRB- $ 23.2 million -RRB- to assist in well drilling , water pumping and other relief activities .",pumping,28
357,0,dance,15,"Mr. Waters sets his sights on the `` hairhoppers , '' the polished amateurs who dance on `` The Corny Collins Show , '' his version of `` American Bandstand . ''/''","Mr. Waters sets his sights on the `` hairhoppers , '' the polished amateurs who [Mask] on `` The Corny Collins Show , '' his version of `` American Bandstand . ''/''",`` You 're not going to be able to dance and diddle here . ''/'',dance,9
358,0,flew,24,"Delta Air Lines said it flew 3.94 billion revenue passenger miles in December , a 26.7 % increase from the 3.11 billion miles it flew in December 1986 .","Delta Air Lines said it flew 3.94 billion revenue passenger miles in December , a 26.7 % increase from the 3.11 billion miles it [Mask] in December 1986 .","In the year ended March 31 , North Sea oil pumped # 8.2 billion into government coffers .",pumped,10
359,1,pumping,1,"By pumping money into coverage of local business , the papers aimed at an affluent and influential audience in their communities .","By [Mask] money into coverage of local business , the papers aimed at an affluent and influential audience in their communities .",Heavy water is used to control and cool the reaction of small research reactors .,cool,7
360,0,attack,22,"The only thing certain is that a Korean merchant wholly dependent on the good will of his customers would be crazy to attack a black grandmother in a virtually all-black neighborhood -- and Mr. Chung , who cleaned fish for three years to scrape together the money to buy his market , seems anything but crazy .","The only thing certain is that a Korean merchant wholly dependent on the good will of his customers would be crazy to [Mask] a black grandmother in a virtually all-black neighborhood -- and Mr. Chung , who cleaned fish for three years to scrape together the money to buy his market , seems anything but crazy .","Mr. Davis openly has a bone to pick with urban renewal , but this hardly seems a prejudice on his part: Urban renewal did in fact come into Fulton and systematically destroyed the old neighborhood , and there was n't anything subtle about it .",destroyed,31
361,0,dance,11,"Meanwhile , though , we may ask what will happen to dance back here , where the facilities Brussels has offered Mr. Morris , including a $ 1.5 million annual budget , are apparently not to be thought of .","Meanwhile , though , we may ask what will happen to [Mask] back here , where the facilities Brussels has offered Mr. Morris , including a $ 1.5 million annual budget , are apparently not to be thought of .","Much of Mr. Jackson 's money is being plowed back into a direct-mail program , which reportedly is growing rapidly .",plowed,8
362,1,killed,4,"The deal was finally killed by MCA management , Mr. Olson says .","The deal was finally [Mask] by MCA management , Mr. Olson says .","It could even store some first-class sleeping berths , says Mr. Newkirk .",sleeping,6
363,1,plow,6,"Officials may shut others as they plow through 4 , 000 remaining applications to do business .","Officials may shut others as they [Mask] through 4 , 000 remaining applications to do business .",State officials are advising farmers to plow under infested fields .,plow,6
364,1,play,19,"Mrs. Bush , who disdains what she calls fake public displays of affection by the Dukakises , also will play an important role in her husband 's campaign .","Mrs. Bush , who disdains what she calls fake public displays of affection by the Dukakises , also will [Mask] an important role in her husband 's campaign .","It could even store some first-class sleeping berths , says Mr. Newkirk .",sleeping,6
365,1,flooded,35,"But in June 1987 , two doctors affiliated with Ueno Fine Chemical Co. reported that in test-tube studies , dextran sulfate was an effective antiviral agent against AIDS. Almost overnight , desperate American AIDS patients flooded Kowa with demands for the drug .","But in June 1987 , two doctors affiliated with Ueno Fine Chemical Co. reported that in test-tube studies , dextran sulfate was an effective antiviral agent against AIDS. Almost overnight , desperate American AIDS patients [Mask] Kowa with demands for the drug .","The potentially fatal clots dissolved within two hours among 82 % of patients given Genentech 's Activase brand of TPA , compared with 48 % who used Abbokinase , Abbott Laboratories 's brand of urokinase .",dissolved,4
366,0,destroyed,6,The doctor who removed the IUD destroyed Ms. Murdock-Vaughn 's files in 1979 as part of a routine office cleaning .,The doctor who removed the IUD [Mask] Ms. Murdock-Vaughn 's files in 1979 as part of a routine office cleaning .,Knight-Ridder stumbled in one past push into information services .,stumbled,1
367,1,cools,2,"If it cools off , they worry about lower earnings , which also would hurt the market .","If it [Mask] off , they worry about lower earnings , which also would hurt the market .","The theory behind the strategy: If it 's there , people will drink it .",drink,12
368,1,stumbled,18,"The government 's economic program , introduced with much enthusiasm at the beginning of the year , has stumbled clumsily from the start .","The government 's economic program , introduced with much enthusiasm at the beginning of the year , has [Mask] clumsily from the start .","Also , many farmers have planted soybeans amid their ruined wheat crop , possibly bolstering production .",planted,5
369,0,flying,9,Sunworld had recently been operating as a charter airline flying 120 flights a month .,Sunworld had recently been operating as a charter airline [Mask] 120 flights a month .,Mr. Davis says he has been flooded with requests for berths on future flights since announcing the October launch .,flooded,6
370,1,attacked,3,"Common Cause has attacked the Ways and Means Committee 's proposal to repeal the $ 3 , 000 limit on the deductibility of congressional living expenses in Washington , D.C .","Common Cause has [Mask] the Ways and Means Committee 's proposal to repeal the $ 3 , 000 limit on the deductibility of congressional living expenses in Washington , D.C .","The route generates about $ 120 million in revenue for United , which has been flying it since 1983 .",flying,15
371,0,pouring,38,"Joseph M. Kornick , a principal , says the Minute Maid handle is more comfortably rounded `` to fit adults and children '' and has been placed lower `` to lower the center of gravity '' for easier pouring .","Joseph M. Kornick , a principal , says the Minute Maid handle is more comfortably rounded `` to fit adults and children '' and has been placed lower `` to lower the center of gravity '' for easier [Mask] .","The message Mr. Welch says he is sending , however , is that by cutting management layers and delegating responsibility , `` we are trying to create an atmosphere where people want to work , a nonbureaucracy where people have a chance to flourish .",flourish,43
372,1,flourished,9,Stickball -- a street version of baseball that has flourished here since the Depression -- has never been a social climber 's game .,Stickball -- a street version of baseball that has [Mask] here since the Depression -- has never been a social climber 's game .,But I 'll tell you this: I have n't had a cold since I ate it .,ate,14
373,1,kill,9,The lawmaker suggested that Thiokol might be trying to kill the advanced-rocket program to ensure that the current rocket is used even longer .,The lawmaker suggested that Thiokol might be trying to [Mask] the advanced-rocket program to ensure that the current rocket is used even longer .,"The new calculations showed the shuttle could fly safely , he said .",fly,7
374,0,dissolves,2,"The cyanide dissolves , or leaches out the gold , and the water is collected at the bottom of the heap for treatment to remove its precious cargo .","The cyanide [Mask] , or leaches out the gold , and the water is collected at the bottom of the heap for treatment to remove its precious cargo .","Similar in appearance and texture to petroleum-based plastics , the plastic decomposes into water and carbon dioxide when attacked by certain enzymes in the soil .",attacked,18
375,1,flourish,3,"Buyers ' clubs flourish in Manhattan and San Francisco to help the infected and the sick obtain experimental drugs like dextran sulfate , imported from Japan , where it is available over the counter as a way to reduce blood cholesterol .","Buyers ' clubs [Mask] in Manhattan and San Francisco to help the infected and the sick obtain experimental drugs like dextran sulfate , imported from Japan , where it is available over the counter as a way to reduce blood cholesterol .","The Medical Letter , a respected nonprofit publication that evaluates the effectiveness of drugs for doctors , concluded that Actigall can dissolve gallstones in only about half of patients .",dissolve,21
376,1,dissolving,10,The announcement Friday follows a court ruling earlier last week dissolving a preliminary injunction that had prevented the IRS from taking such action .,The announcement Friday follows a court ruling earlier last week [Mask] a preliminary injunction that had prevented the IRS from taking such action .,The view contradicts administration claims that Moscow knew it was attacking a non-military target .,attacking,10
377,1,wither,29,"Some disheartened resistance commanders , after exhausting their stockpiles , strike private peace deals with Afghan leader Najibullah in exchange for control of minor fiefdoms ; other rebel leaders wither away .","Some disheartened resistance commanders , after exhausting their stockpiles , strike private peace deals with Afghan leader Najibullah in exchange for control of minor fiefdoms ; other rebel leaders [Mask] away .","Whalers , traders and missionaries planted seedlings at settlements scattered along the chain .",planted,5
378,0,evaporated,21,"The problem is partly due to a thermal vacuum switch in the vapor-control system that is supposed to curb release of evaporated gasoline , the EPA said .","The problem is partly due to a thermal vacuum switch in the vapor-control system that is supposed to curb release of [Mask] gasoline , the EPA said .","Richard DeVane , president of the company 's fossil systems business , said it appears that oxygen in the fresh air combined with either sulfur , zinc or chloride to produce an oxide that ate away the boiler wall 's iron-oxide protective coating .",ate,34
379,0,dancing,23,And a family in adjacent Hamilton County turned to him after it got little response from local authorities to its complaints about people dancing and praying in a nearby graveyard .,And a family in adjacent Hamilton County turned to him after it got little response from local authorities to its complaints about people [Mask] and praying in a nearby graveyard .,Olds is n't the only advertiser targeting Southern California with such campaigns .,targeting,6
380,0,attacked,2,"Tamil rebels attacked a village in eastern Sri Lanka , killing at least 16 people in the assault on homes of the majority Sinhalese .","Tamil rebels [Mask] a village in eastern Sri Lanka , killing at least 16 people in the assault on homes of the majority Sinhalese .","There was no claim of responsibility , but officials suspect the bomb was planted by ethnic Karen separatists .",planted,13
381,0,drink,22,"Schieffelin & Somerset Co. is beginning a boldly different , big-budget advertising campaign that it hopes will persuade more baby boomers to drink its Johnnie Walker Scotch whisky brands .","Schieffelin & Somerset Co. is beginning a boldly different , big-budget advertising campaign that it hopes will persuade more baby boomers to [Mask] its Johnnie Walker Scotch whisky brands .",Philip Morris could be forced to deal with the same problems it has struggled with at General Foods -- pumping new life into old products .,pumping,19
382,0,drink,7,My impression is that he does n't drink . ''/'',My impression is that he does n't [Mask] . ''/'',`` We 're going to keep attacking . ''/'',attacking,6
383,0,killed,7,Israeli television said a Palestinian girl was killed during a West Bank protest and Gaza Strip hospital officials said 105 Palestinians were treated for beatings during a general strike there .,Israeli television said a Palestinian girl was [Mask] during a West Bank protest and Gaza Strip hospital officials said 105 Palestinians were treated for beatings during a general strike there .,Reports from Afghanistan described experimental Soviet chemical or biological agents that put people to sleep without their knowing what was happening .,sleep,14
384,0,sleeping,35,"At the core of the company 's problem is its Peach Bottom nuclear power facility , which the Nuclear Regulatory Commission ordered shut in March 1987 when control-room operators were discovered playing video games and sleeping on the job .","At the core of the company 's problem is its Peach Bottom nuclear power facility , which the Nuclear Regulatory Commission ordered shut in March 1987 when control-room operators were discovered playing video games and [Mask] on the job .","Last September a federal agent even tried to plant a listening device in the building housing MCA 's home video unit , but was discovered by MCA security guards .",plant,8
385,0,ate,14,But I 'll tell you this: I have n't had a cold since I ate it .,But I 'll tell you this: I have n't had a cold since I [Mask] it .,Stickball -- a street version of baseball that has flourished here since the Depression -- has never been a social climber 's game .,flourished,9
386,1,pumping,3,No one minds pumping Bambi full of lead ; the issue is whether to bring along the dogs as well as the Winchester .,No one minds [Mask] Bambi full of lead ; the issue is whether to bring along the dogs as well as the Winchester .,Others fly them out as personal luggage .,fly,1
387,1,stumble,3,"They do n't stumble over all the mentions of things like thermoplastics , the latest in feather-light composite materials , which replace metal in Stealth airframes .","They do n't [Mask] over all the mentions of things like thermoplastics , the latest in feather-light composite materials , which replace metal in Stealth airframes .","Japanese companies already are at the forefront of development of an older generation of superconductors , those that have to be cooled almost to absolute zero .",cooled,21
388,1,dissolving,6,"If Mr. Icahn is successful in dissolving that agreement , he could seek Pennzoil 's support for his plan , which , like Texaco 's plan , includes a $ 3 billion settlement .","If Mr. Icahn is successful in [Mask] that agreement , he could seek Pennzoil 's support for his plan , which , like Texaco 's plan , includes a $ 3 billion settlement .","At the Houston Petroleum Club , industry officials could n't eat lunch of late without discussing speculation that Exxon was going to walk away with all of the Tenneco properties .",eat,10
389,0,dance,13,"And for those of you planning ahead , this year the troupe will dance `` The Nutcracker '' Dec. 1-31 . -LRB- 212 -RRB- 870-5690 .","And for those of you planning ahead , this year the troupe will [Mask] `` The Nutcracker '' Dec. 1-31 . -LRB- 212 -RRB- 870-5690 .",`` We 're already being flooded by inquiries from many major companies as to how -LRB- the board -RRB- can do this . ''/'',flooded,5
390,1,attack,18,He predicted the opinion `` will open up a can of worms because now any trade organization can attack any trademark claimed by someone else in the industry . ''/'',He predicted the opinion `` will open up a can of worms because now any trade organization can [Mask] any trademark claimed by someone else in the industry . ''/'',But the resolution probably rests more on politics than on flying skill and commercial expertise .,flying,10
391,1,attacked,10,"In hearings before Mr. Needelman last August , the lawyers attacked the seeming contradictions between the papers ' earlier upbeat statements and ambitious spending , and their more recent statements that the Free Press is failing .","In hearings before Mr. Needelman last August , the lawyers [Mask] the seeming contradictions between the papers ' earlier upbeat statements and ambitious spending , and their more recent statements that the Free Press is failing .","The Nestle spokesman rebutted the anti-monopoly charge , noting that Perulac has only a 15 % share of the evaporated milk market .",evaporated,19
392,0,flown,8,A revenue passenger mile is one paying passenger flown one mile .,A revenue passenger mile is one paying passenger [Mask] one mile .,International collaboration flourishes between the major laboratories .,flourishes,2
393,1,destroyed,27,But really it is the day that all four Tyrones come face to face with the ghosts that have haunted them and the demons that have nearly destroyed them .,But really it is the day that all four Tyrones come face to face with the ghosts that have haunted them and the demons that have nearly [Mask] them .,The guerrillas claim they killed 35 Angolans and 15 Cubans .,killed,4
394,0,eat,1,Russians eat awful sausage by the ton .,Russians [Mask] awful sausage by the ton .,It pours toilet paper in parts of Michigan .,pours,1
395,1,targeted,1,Programs targeted for `` possible privatization '' include some Postal Service operations and the management of minimum-security prisons .,Programs [Mask] for `` possible privatization '' include some Postal Service operations and the management of minimum-security prisons .,Others fly them out as personal luggage .,fly,1
396,0,raining,6,"For one thing , it started raining again in mid-July .","For one thing , it started [Mask] again in mid-July .","Colgate Venture has stumbled , too .",stumbled,3
397,1,pouring,19,NASA partisans blame the administration for allowing the civilian space agency to drift and deteriorate through the 1980s while pouring vast sums into the Pentagon .,NASA partisans blame the administration for allowing the civilian space agency to drift and deteriorate through the 1980s while [Mask] vast sums into the Pentagon .,The view contradicts administration claims that Moscow knew it was attacking a non-military target .,attacking,10
398,1,eating,34,"The honor of these Pulitzer-predators will be vindicated only if Mr. Anderson does all sorts of demeaning acts pursuant to article 48a of the Civil Code of California , mostly in the order of eating humble pie .","The honor of these Pulitzer-predators will be vindicated only if Mr. Anderson does all sorts of demeaning acts pursuant to article 48a of the Civil Code of California , mostly in the order of [Mask] humble pie .",Mr. Brooks tape-recorded one of the men present at the meeting saying that he believes Indians ritualistically kill and mutilate one another .,kill,17
399,0,kill,12,"`` If {Shorty} puts down his arms , the campesinos themselves will kill him . ''/''","`` If {Shorty} puts down his arms , the campesinos themselves will [Mask] him . ''/''","`` The risk is , business will melt away . ''/''",melt,7
400,1,sleep,20,"The focus on takeover issues provided market players with a chance to `` keep the juices flowing without going to sleep , '' said Edward P. Nicoski , a market analyst at Piper Jaffray & Hopwood , Minneapolis .","The focus on takeover issues provided market players with a chance to `` keep the juices flowing without going to [Mask] , '' said Edward P. Nicoski , a market analyst at Piper Jaffray & Hopwood , Minneapolis .","`` Most Koreans ' stomachs turn when they think of eating snails , '' Mr. Lee concedes .",eating,10
401,1,pumped,48,"Performing his own compositions , traditional R & B tunes , zydeco originals and his interpretations of rock numbers , Buck and the band spit out the kind of crackling music that 's been missing since the heyday of Stax Records , when Booker T. and the MGs pumped a driving rhythm behind Sam & Dave , Carla Thomas and Otis Redding .","Performing his own compositions , traditional R & B tunes , zydeco originals and his interpretations of rock numbers , Buck and the band spit out the kind of crackling music that 's been missing since the heyday of Stax Records , when Booker T. and the MGs [Mask] a driving rhythm behind Sam & Dave , Carla Thomas and Otis Redding .","When they 're not in front of the camera , the Toons sing and dance at their version of Harlem 's Cotton Club .",dance,14
402,0,eat,11,"Creating the special food solved the problem of what he could eat on future flights , but supplying fare for astronauts seemed limited as a business concept .","Creating the special food solved the problem of what he could [Mask] on future flights , but supplying fare for astronauts seemed limited as a business concept .",Mr. Davis says he has been flooded with requests for berths on future flights since announcing the October launch .,flooded,6
403,1,plowed,27,"Mr. Williams thus launched a divestiture binge that ended only last year , ultimately raising more than $ 1.2 billion in cash -- money that the company plowed not only into reducing debt and upgrading its its natural-gas pipelines , but also into transforming old pipelines into new telephone lines .","Mr. Williams thus launched a divestiture binge that ended only last year , ultimately raising more than $ 1.2 billion in cash -- money that the company [Mask] not only into reducing debt and upgrading its its natural-gas pipelines , but also into transforming old pipelines into new telephone lines .","To make up for some of that loss , Western Pennsylvania Water has brought another of its pumping stations to full capacity .",pumping,17
404,0,plowing,4,"`` We 've been plowing a lot of new furrows , '' says Richard Burket of Archer-Daniels-Midland Co . , Decatur , Ill .","`` We 've been [Mask] a lot of new furrows , '' says Richard Burket of Archer-Daniels-Midland Co . , Decatur , Ill .","`` The big question is whether the pest problems are happening by themselves or whether opportunistic insects are attacking weakened trees , '' said David Marvin , a maple syrup producer in Johnson , Vt .",attacking,18
405,0,targeted,5,"The peace lobby , which targeted the B-1 , virtually compelled President Carter to cancel the plane , made the MX inevitable and got the B-1 anyway .","The peace lobby , which [Mask] the B-1 , virtually compelled President Carter to cancel the plane , made the MX inevitable and got the B-1 anyway .","Astrotech went into a deep tailspin two years ago , officials say , with the explosion of the Space Shuttle Challenger , which destroyed hopes of near-term commercial space travel .",destroyed,23
406,1,flourish,16,"Indeed , the one truly revolutionary asssumption at loose in the world now is economic: Economies flourish in free markets .","Indeed , the one truly revolutionary asssumption at loose in the world now is economic: Economies [Mask] in free markets .","You ca n't eat these confections , but paper making satisfies the senses all the same .",eat,3
407,0,killed,20,"In 1983 , North Korean agents are believed to have set off a bomb in Rangoon , Burma , that killed four South Korean cabinet ministers and 13 other Koreans in what may have been an attempt on the life of then-President Chun Doo Hwan .","In 1983 , North Korean agents are believed to have set off a bomb in Rangoon , Burma , that [Mask] four South Korean cabinet ministers and 13 other Koreans in what may have been an attempt on the life of then-President Chun Doo Hwan .","There was no claim of responsibility , but officials suspect the bomb was planted by ethnic Karen separatists .",planted,13
408,0,melting,6,"Great ; when they 've finished melting , we 'll all have stew .","Great ; when they 've finished [Mask] , we 'll all have stew .",But let 's be specific and kill off only those programs that are n't working .,kill,6
409,0,flying,27,"Under a temporary restraining order entered early this month , Judge Parker barred Eastern from eliminating the jobs , but specifically permitted the company to cut its flying .","Under a temporary restraining order entered early this month , Judge Parker barred Eastern from eliminating the jobs , but specifically permitted the company to cut its [Mask] .",The announcement Friday follows a court ruling earlier last week dissolving a preliminary injunction that had prevented the IRS from taking such action .,dissolving,10
410,1,targeted,10,"Two more of Sassy magazine 's largest advertisers have been targeted for a letterwriting campaign by Liberty Report , a newspaper published by Rev. Jerry Falwell 's Moral Majority .","Two more of Sassy magazine 's largest advertisers have been [Mask] for a letterwriting campaign by Liberty Report , a newspaper published by Rev. Jerry Falwell 's Moral Majority .","Police , meanwhile , raided Arab villages and destroyed the homes of suspected activists .",destroyed,8
411,0,plowed,14,"The soil was so rocky that they had to do something with the boulders plowed up in their fields ; dry stone walls were built in other , scattered parts of the U.S . , but in smaller numbers .","The soil was so rocky that they had to do something with the boulders [Mask] up in their fields ; dry stone walls were built in other , scattered parts of the U.S . , but in smaller numbers .","In the U.S . , software has flourished as something of a cottage industry ; in Japan , companies have set up software factories with 1 , 000 employees or more .",flourished,7
412,1,attack,11,"This avoidance of tradition gets reinforced by the many critics who attack as unrealistic , and possibly immoral , any effort to portray the Vietnam experience as similar to that of World War I , World War II or Korea .","This avoidance of tradition gets reinforced by the many critics who [Mask] as unrealistic , and possibly immoral , any effort to portray the Vietnam experience as similar to that of World War I , World War II or Korea .",The view contradicts administration claims that Moscow knew it was attacking a non-military target .,attacking,10
413,0,killed,18,Pravda said an Azerbaijan metalworker went on trial for murder for his part in February ethnic riots that killed at least 32 in the Soviet republic .,Pravda said an Azerbaijan metalworker went on trial for murder for his part in February ethnic riots that [Mask] at least 32 in the Soviet republic .,"There was no claim of responsibility , but officials suspect the bomb was planted by ethnic Karen separatists .",planted,13
414,1,cooling,32,"Jack Laporte , a mutual-fund manager at T. Rowe Price Associates Inc. in Baltimore , says people can find a reason to worry whether the economy shows signs of heating up or cooling off .","Jack Laporte , a mutual-fund manager at T. Rowe Price Associates Inc. in Baltimore , says people can find a reason to worry whether the economy shows signs of heating up or [Mask] off .","Beginning this week , says Steve Freed , an agricultural analyst for Dean Witter Reynolds in Chicago , the corn yield will drop 5 % for every week it rains less than normal .",rains,29
415,1,targeted,11,"In moving against the 28-year-old Mr. Schmuckler , the CFTC staff targeted one of Wall Street 's computerized-trading wizards .","In moving against the 28-year-old Mr. Schmuckler , the CFTC staff [Mask] one of Wall Street 's computerized-trading wizards .","Police said managing partner John A. Mulheren Jr . , whom they arrested Feb. 18 carrying a loaded rifle outside his home in Rumson , N.J . , intended to kill arbitrager Ivan F. Boesky , who has implicated Mr. Mulheren in Wall Street 's insider trading scandal .",kill,30
416,0,fly,16,Mr. Petee said one man was so afraid his boss was going to ask him to fly that he started his own business .,Mr. Petee said one man was so afraid his boss was going to ask him to [Mask] that he started his own business .,Puma spokesman Uto Duethorn said Mr. Becker and Puma mutually agreed to dissolve the agreement this month .,dissolve,12
417,1,plow,8,"`` Americans regard as safe something you could plow into a wall without hurting yourself , '' he said .","`` Americans regard as safe something you could [Mask] into a wall without hurting yourself , '' he said .","`` Most Koreans ' stomachs turn when they think of eating snails , '' Mr. Lee concedes .",eating,10
418,0,drank,7,"Here his father , a shoemaker , drank vodka , and here his mother nourished her son 's ambitions .","Here his father , a shoemaker , [Mask] vodka , and here his mother nourished her son 's ambitions .","After rattling off Bell Atlantic , BellSouth and Southwestern Bell , he stumbled .",stumbled,12
419,1,dissolve,23,And Ronnie Graham was so hip a laid-back comic that sometimes he did n't have to say a word to have the audience dissolve in laughter .,And Ronnie Graham was so hip a laid-back comic that sometimes he did n't have to say a word to have the audience [Mask] in laughter .,His antics once provoked an elderly ruling-party legislator to attack him with a cane .,attack,9
420,0,play,10,"`` Just girls play with Barbie dolls and just boys play with GI Joe , '' she complains .","`` Just girls play with Barbie dolls and just boys [Mask] with GI Joe , '' she complains .","`` Now , we are totally changing our marketing to target those people , '' says Mr. Goldstein .",target,10
421,0,sleeping,42,"The plant in Delta , Pa . , about 45 miles down the Susquehanna River from Three Mile Island , was ordered to be closed after some of Peach Bottom 's reactor operators were found playing video games and others were caught sleeping at the controls .","The plant in Delta , Pa . , about 45 miles down the Susquehanna River from Three Mile Island , was ordered to be closed after some of Peach Bottom 's reactor operators were found playing video games and others were caught [Mask] at the controls .","Last September a federal agent even tried to plant a listening device in the building housing MCA 's home video unit , but was discovered by MCA security guards .",plant,8
422,0,kill,31,"Mr. Weiss suggests that the new approach , once developed , could be used in combination with CD4: The CD4 would handle the free-floating viruses , while the new drug would kill infected cells .","Mr. Weiss suggests that the new approach , once developed , could be used in combination with CD4: The CD4 would handle the free-floating viruses , while the new drug would [Mask] infected cells .","The latter cells act normally as scavengers that eat up invading organisms , but also may be responsible for cell-to-cell infection of the AIDS virus .",eat,8
423,0,dance,2,Anyone can dance the hokey-pokey .,Anyone can [Mask] the hokey-pokey .,Olds is n't the only advertiser targeting Southern California with such campaigns .,targeting,6
424,0,plant,4,"But the closer to plant capacity the economy is operating , the faster low unemployment pushes up costs and prices .","But the closer to [Mask] capacity the economy is operating , the faster low unemployment pushes up costs and prices .","But as long as Washington keeps pumping in those subsidies , the situation will remain stabilized , even improving a bit .",pumping,6
425,0,pour,47,"It 's little wonder , then , that Susan has taken to escaping into the company of her delightfully charming , exceedingly attractive , immensely rich fantasy family: an adoring husband , a devoted daughter and a frothy younger brother whose only occupation in life is to pour yet another round of champagne -- `` champers , '' as he prefers to call it -- for the four of them .","It 's little wonder , then , that Susan has taken to escaping into the company of her delightfully charming , exceedingly attractive , immensely rich fantasy family: an adoring husband , a devoted daughter and a frothy younger brother whose only occupation in life is to [Mask] yet another round of champagne -- `` champers , '' as he prefers to call it -- for the four of them .","`` It 's not very romantic to find out that the wonderful man you married is too noisy to sleep with , '' says Miss Van Buren , the columnist .",sleep,19
426,1,evaporated,31,"`` As the amount of copper available for delivery rose above the number of contracts that had to be satisfied , the threat of a squeeze ' in the March contract evaporated , '' said William O'Neill , research director for Elders Futures Inc . , New York .","`` As the amount of copper available for delivery rose above the number of contracts that had to be satisfied , the threat of a squeeze ' in the March contract [Mask] , '' said William O'Neill , research director for Elders Futures Inc . , New York .","The winter wheat crop , planted last fall , `` is deteriorating as it matures because of moisture deficiencies , '' said Mr. Schwensen .",planted,5
427,0,besieged,2,"When radicals besieged his hotel while he was visiting Seoul last week , he promised them he would make yet another effort to play up to North Korea -- by renewing the offer to let the North host several Olympic events .","When radicals [Mask] his hotel while he was visiting Seoul last week , he promised them he would make yet another effort to play up to North Korea -- by renewing the offer to let the North host several Olympic events .",Pyongyang would like nothing better than to rain on Seoul 's parade .,rain,7
428,1,evaporate,14,"Long-term interest rates will plummet to their lowest level in 25 years as fears evaporate about swollen budget deficits , rising inflation and an over-leveraged corporate America .","Long-term interest rates will plummet to their lowest level in 25 years as fears [Mask] about swollen budget deficits , rising inflation and an over-leveraged corporate America .",Southeastern poultry producers fear withering soybean supplies will force up prices on other commodities .,withering,4
429,1,evaporated,10,But some of the hopeful signs that fostered such optimism evaporated by spring .,But some of the hopeful signs that fostered such optimism [Mask] by spring .,I lost 95 % of the trees planted in one field this past spring .,planted,7
430,0,killed,15,"But in talking with the FBI agent , the man not only denied he 'd killed anyone , he said that he had n't escaped from prison , that the warden had simply told him to leave one day after more than 20 years behind bars .","But in talking with the FBI agent , the man not only denied he 'd [Mask] anyone , he said that he had n't escaped from prison , that the warden had simply told him to leave one day after more than 20 years behind bars .","According to a recently unsealed transcript of a closed meeting in Judge Pollack 's chambers with defense attorneys on Sept. 13 , the judge claimed he was being attacked `` professionally '' and threatened to impose sanctions if the lawyers pursued the issue of removing him .",attacked,28
431,1,dissolves,26,"Most American cities show to their best advantage when seen from a height or a distance , at a point where the ugliness of the buildings dissolves into the beauty of an abstraction .","Most American cities show to their best advantage when seen from a height or a distance , at a point where the ugliness of the buildings [Mask] into the beauty of an abstraction .","In ground tests , parts keep fracturing and flying apart .",flying,8
432,0,flooded,16,Osman Geragandi Koko looked at the mounds of mud above the surface of water covering the flooded shanty town of Jebel Kusha .,Osman Geragandi Koko looked at the mounds of mud above the surface of water covering the [Mask] shanty town of Jebel Kusha .,Puma spokesman Uto Duethorn said Mr. Becker and Puma mutually agreed to dissolve the agreement this month .,dissolve,12
433,1,destroyed,11,"In a test against listeria grown in cole slaw , lysozyme destroyed it without affecting the quality of the food .","In a test against listeria grown in cole slaw , lysozyme [Mask] it without affecting the quality of the food .","The solvent failed to dissolve non-cholesterol gallstones in two patients , however .",dissolve,4
434,0,attacking,8,Sparrows used to have a rep for selectively attacking yellow crocuses such as `` E.A .,Sparrows used to have a rep for selectively [Mask] yellow crocuses such as `` E.A .,The drought is spawning an explosion in the spider mite population by harming a plant fungus that attacks the tiny insects .,attacks,17
435,1,pour,30,"Our view is that the Russians and Cubans figured this out some time ago , which is why , despite Mr. Reagan 's occasional speeches , they never hesitated to pour advisers and war materiel by the ton into Nicaragua .","Our view is that the Russians and Cubans figured this out some time ago , which is why , despite Mr. Reagan 's occasional speeches , they never hesitated to [Mask] advisers and war materiel by the ton into Nicaragua .","And Mr. Gorbachev 's proposal to remove aircraft -- which easily can fly back to Central Europe during a crisis -- would be meaningless unless they are destroyed , Mr. Chalmers says .",fly,12
436,1,pour,2,"As clients pour into the issues , prices jump .","As clients [Mask] into the issues , prices jump .","In ground tests , parts keep fracturing and flying apart .",flying,8
437,1,eating,13,"The chemicals , widely used in refrigerants and styrofoam , are suspected of eating away the Earth 's protective ozone layer .","The chemicals , widely used in refrigerants and styrofoam , are suspected of [Mask] away the Earth 's protective ozone layer .","The agreement , to be announced today , marks the first time an industry using chlorofluorocarbons , or CFCs , has voluntarily decided to phase out the chemicals because they can destroy the Earth 's protective ozone layer .",destroy,31
